Location,Locname,Postcode,HB2019,HB2019Name
A001A,Ayrshire & Arran Primary Care NHS Trust,KA8 9DW,S08000015,NHS Ayrshire and Arran
A001B,GP Surgery,KA1 2BD,S08000015,NHS Ayrshire and Arran
A001G,Ayr Hospital - Radiology,KA6 6DX,S08000015,NHS Ayrshire and Arran
A001T,Kilmarnock Police Station,KA1 1TJ,S08000015,NHS Ayrshire and Arran
A002A,TrakCare PMS Submission - Ayrshire & Arran,KA2 0BE,S08000015,NHS Ayrshire and Arran
A002B,GP Surgery,KA1 2DJ,S08000015,NHS Ayrshire and Arran
A002G,Crosshouse Hospital - Radiology,KA2 0BE,S08000015,NHS Ayrshire and Arran
A002T,Ayr Police Station,KA8 0BU,S08000015,NHS Ayrshire and Arran
A003A,Unit 2 (Ayrshire & Arran Health Bd),KA8 9DZ,S08000015,NHS Ayrshire and Arran
A003B,GP Surgery,KA1 2DL,S08000015,NHS Ayrshire and Arran
A003G,Ayr Hospital - Audiology,KA6 6DX,S08000015,NHS Ayrshire and Arran
A003T,Arran Ambulance Station,KA27 8LF,S08000015,NHS Ayrshire and Arran
A004A,Unit 3 (Ayrshire & Arran Health Bd),KA12 8SS,S08000015,NHS Ayrshire and Arran
A004B,GP Surgery,KA1 4PS,S08000015,NHS Ayrshire and Arran
A004G,Ayr Hospital - Pulm Rehab,KA6 6DX,S08000015,NHS Ayrshire and Arran
A004T,Cumnock Ambulance Station,KA26 0BU,S08000015,NHS Ayrshire and Arran
A005A,Unit 4 (Ayrshire & Arran Health Bd),KA6 6AB,S08000015,NHS Ayrshire and Arran
A005B,The Surgery,KA1 5BU,S08000015,NHS Ayrshire and Arran
A005G,Crosshouse Hospital - Pulm Rehab,KA2 0BE,S08000015,NHS Ayrshire and Arran
A005T,Girvan Ambulance Station,KA26 0BU,S08000015,NHS Ayrshire and Arran
A006A,Primary Care Division,KA3 7AL,S08000015,NHS Ayrshire and Arran
A006B,Templehill Surgery,KA10 6BQ,S08000015,NHS Ayrshire and Arran
A006G,Davidson - Radiology,KA26 9DS,S08000015,NHS Ayrshire and Arran
A006T,Kilbirnie Ambulance Station,KA25 7EQ,S08000015,NHS Ayrshire and Arran
A007A,Finance Office (Wellington Chambers),KA7 1EH,S08000015,NHS Ayrshire and Arran
A007B,GP Surgery,KA10 6QN,S08000015,NHS Ayrshire and Arran
A007G,Ayrshire Central Hosp - Radiology,KA12 8SS,S08000015,NHS Ayrshire and Arran
A007T,Kilmarnock Ambulance Station,KA3 1NJ,S08000015,NHS Ayrshire and Arran
A008A,Financial Management and Estates & Facilities Office,KA6 6AB,S08000015,NHS Ayrshire and Arran
A008B,Portland Surgery,KA10 6QR,S08000015,NHS Ayrshire and Arran
A008G,EACH,KA18 1EF,S08000015,NHS Ayrshire and Arran
A008T,Kilwinning Ambulance Station,KA13 6HN,S08000015,NHS Ayrshire and Arran
A009A,Area Distribution Centre,KA11 5AL,S08000015,NHS Ayrshire and Arran
A009B,Meadowgreen Centre,KA10 7ED,S08000015,NHS Ayrshire and Arran
A009G,Heathfield Clinic - Radiology,KA8 9DZ,S08000015,NHS Ayrshire and Arran
A009T,Maybole Ambulance Station,KA19 7DH,S08000015,NHS Ayrshire and Arran
A010A,NHS Ayrshire & Arran Sites,KA7 1QJ,S08000015,NHS Ayrshire and Arran
A010B,Meadowgreen Surgery,KA10 7JH,S08000015,NHS Ayrshire and Arran
A010G,Ayrshire Central Hospital - Garnock Day Hospital,,NA,NA
A010T,Kilwinning Workshop,KA13 6HN,S08000015,NHS Ayrshire and Arran
A011A,Ayrshire & Arran Acute Hospitals NHS Trust,KA2 0BE,S08000015,NHS Ayrshire and Arran
A011B,GP Surgery,KA11 1BT,S08000015,NHS Ayrshire and Arran
A011G,AA Bowel Screening Service,,NA,NA
A011T,SAS Ayr Div HQ,KA8 9DD,S08000015,NHS Ayrshire and Arran
A012A,Ayrshire & Arran Acute Hospitals NHS Trust/Ayr,KA6 6DX,S08000015,NHS Ayrshire and Arran
A012B,GP Surgery,KA11 4AQ,S08000015,NHS Ayrshire and Arran
A012G,Embrace-U,KA7 2AX,S08000015,NHS Ayrshire and Arran
A012T,Crosshouse Hospital Ambulance ASO,KA2 0BE,S08000015,NHS Ayrshire and Arran
A013A,Heathfield House,KA8 9DZ,S08000015,NHS Ayrshire and Arran
A013B,GP Surgery,KA11 5AX,S08000015,NHS Ayrshire and Arran
A013G,Ayrshire Maternity Unit,KA2 0BE,S08000015,NHS Ayrshire and Arran
A013T,Ayr Hospital Ambulance ASO,KA6 6DX,S08000015,NHS Ayrshire and Arran
A014A,Jobcentre Plus,KA1 2DF,S08000015,NHS Ayrshire and Arran
A014B,GP Surgery,KA12 8AS,S08000015,NHS Ayrshire and Arran
A014G,Community Mental Health Services - Elderly,,NA,NA
A014T,Stevenston Criminal Justice,KA20 3EN,S08000015,NHS Ayrshire and Arran
A015A,Jobcentre Plus,KA21 5EZ,S08000015,NHS Ayrshire and Arran
A015B,GP Surgery,KA12 8DX,S08000015,NHS Ayrshire and Arran
A015G,Primary Care Mental Health Services,,NA,NA
A015T,Cumnock Criminal Justice,KA18 1PG,S08000015,NHS Ayrshire and Arran
A016A,Jobcentre Plus,KA18 1JZ,S08000015,NHS Ayrshire and Arran
A016B,Kilwinning Group Practice,KA13 6BL,S08000015,NHS Ayrshire and Arran
A016G,Community Mental Health Services - Adult,,NA,NA
A016T,Kilmarnock Criminal Justice,KA1 1BL,S08000015,NHS Ayrshire and Arran
